url_count,ip_url_count,suspicious_tld_count,long_url_count,urgent_count,credential_count,threat_count,reply_to_mismatch,attachment_count,suspicious_attachment_count,text_length,exclamation_count,label
7,3,1,4,7,6,3,0,0,0,348,4,1
1,1,0,1,6,1,2,0,3,2,4094,6,1
3,3,2,2,6,1,1,1,3,2,3833,5,1
5,2,2,0,1,2,0,0,3,2,2489,4,1
4,1,3,0,2,3,5,0,0,0,1473,6,1
8,2,1,2,6,3,1,0,1,0,4131,10,1
7,0,3,3,3,2,5,0,3,1,3541,3,1
6,2,2,1,4,3,2,0,3,0,4712,4,1
5,0,0,2,1,6,2,1,3,1,4956,0,1
6,0,0,3,6,3,3,0,0,0,1877,9,1
4,3,1,2,2,2,5,0,3,1,4261,8,1
6,0,3,6,1,2,4,0,3,0,3530,2,1
1,0,1,1,8,4,1,0,0,0,3341,6,1
7,3,2,1,7,2,4,1,1,0,3883,3,1
4,1,1,3,6,6,2,0,0,0,2777,5,1
1,0,1,1,5,5,3,0,1,0,2186,1,1
7,1,3,6,8,5,4,1,1,0,1846,2,1
4,3,3,3,2,6,1,1,0,0,4403,6,1
6,0,0,4,7,3,5,1,3,0,3996,3,1
6,3,3,0,5,4,2,1,1,0,3777,8,1
8,1,1,7,4,4,5,0,0,0,3031,2,1
6,2,3,0,7,5,2,0,0,0,2049,9,1
8,0,1,4,2,1,4,1,3,3,893,10,1
8,1,0,0,3,6,3,0,2,2,4316,9,1
5,2,1,1,3,4,0,1,0,0,3811,4,1
2,1,0,0,8,6,2,0,3,3,3091,10,1
1,0,1,1,5,2,3,0,3,0,1809,0,1
5,3,1,2,4,6,1,1,0,0,3255,5,1
6,0,0,6,6,1,0,0,1,0,2117,9,1
3,2,0,0,5,5,2,0,1,1,3140,4,1
6,3,2,4,2,5,3,0,2,1,4676,6,1
6,2,0,4,4,3,0,0,1,0,4231,9,1
3,0,3,1,3,2,0,1,1,0,2829,7,1
3,2,0,2,3,3,5,1,1,0,384,9,1
3,2,1,0,1,4,2,0,0,0,557,4,1
8,1,3,4,6,2,3,0,1,0,565,8,1
2,0,2,1,1,5,5,1,0,0,364,3,1
