url_count,ip_url_count,suspicious_tld_count,long_url_count,urgent_count,credential_count,threat_count,reply_to_mismatch,attachment_count,suspicious_attachment_count,text_length,exclamation_count,phishing_percentage,label
0,0,2,1,1,1,1,0,2,2,1216,1,81,1
3,0,0,0,1,1,4,0,2,0,1566,8,75,1
1,1,2,1,6,6,0,0,2,0,965,5,53,1
0,0,0,0,6,1,0,0,0,0,194,6,35,0
1,0,0,0,1,1,0,0,0,0,570,0,12,0
0,0,2,1,6,5,1,0,0,0,242,0,48,0
1,1,0,0,6,0,3,1,1,2,847,2,84,1
2,0,0,2,2,5,0,0,0,0,1193,3,47,0
1,0,0,0,1,1,0,0,0,0,432,0,20,0
0,0,0,0,1,1,1,0,0,0,167,0,29,0
2,0,2,1,3,5,3,0,1,0,605,8,72,1
2,2,2,1,4,3,2,0,0,2,1110,1,68,1
0,0,0,2,1,6,5,1,2,0,888,6,96,1
3,2,1,2,6,0,5,0,2,2,1637,4,76,1
5,1,0,1,3,1,3,0,2,2,639,8,98,1
1,0,2,1,6,5,4,0,0,1,1661,2,97,1
4,0,2,1,3,0,0,1,1,0,218,3,69,1
0,0,2,1,6,0,4,0,0,2,1073,8,72,1
1,0,0,0,1,0,0,0,0,0,419,1,21,0
5,1,1,2,3,0,1,0,0,1,143,8,85,1
0,0,0,0,0,0,0,0,0,0,334,0,29,0
1,0,0,0,0,0,1,0,0,0,442,1,4,0
0,0,0,0,1,0,1,0,0,0,516,0,27,0
0,0,0,0,1,1,1,0,0,0,520,1,12,0
0,0,0,1,5,2,0,0,0,0,1198,7,93,1
1,0,0,0,0,1,1,0,0,0,355,0,17,0
0,0,2,2,6,0,0,0,0,0,932,7,56,1
1,1,0,0,3,0,3,1,1,0,684,6,61,1
5,2,2,2,3,1,1,1,0,0,1286,8,89,1
1,0,0,0,0,0,1,0,0,0,357,0,7,0
0,0,0,0,0,0,0,0,0,0,445,0,7,0
0,0,2,2,0,4,0,1,2,0,1257,8,51,1
1,0,0,2,5,2,0,0,0,0,371,6,40,0
1,0,0,0,1,1,0,0,0,0,109,1,16,0
4,0,0,2,1,4,2,0,1,0,600,5,79,1
0,0,0,1,6,1,0,0,0,0,783,8,36,0
2,0,0,0,1,1,0,0,0,0,1011,1,38,0
4,0,1,1,4,1,5,1,0,2,1398,4,95,1
3,1,0,0,5,3,2,0,0,0,783,2,64,1
2,0,2,1,4,5,3,0,0,0,1515,2,81,1
0,0,2,2,1,3,1,0,1,1,181,5,69,1
0,0,0,0,0,1,1,0,0,0,735,0,26,0
0,0,0,0,6,0,1,0,0,0,125,2,30,0
2,1,2,2,6,1,2,0,2,0,883,0,94,1
1,0,1,1,2,6,1,0,0,0,495,6,60,1
1,0,0,1,2,5,1,0,0,0,778,0,42,0
1,0,0,0,0,1,0,0,0,0,211,1,14,0
2,0,1,1,4,4,0,0,0,0,888,3,44,0
0,0,0,0,5,1,0,0,0,0,632,8,32,0
5,2,2,2,1,2,3,0,2,1,1376,5,87,1
0,0,2,1,5,3,2,1,2,1,1235,2,84,1
1,0,0,0,1,0,1,0,0,0,515,0,24,0
1,0,0,0,3,1,1,0,0,0,552,7,38,0
1,1,2,0,5,0,2,1,0,0,1477,4,86,1
0,0,0,0,0,0,0,0,0,0,350,1,28,0
0,0,1,2,4,1,5,1,1,1,599,2,78,1
5,0,0,1,1,1,5,1,0,2,610,1,83,1
1,1,2,2,4,4,2,1,2,0,1133,6,58,1
3,0,2,1,3,2,1,1,2,1,1383,3,70,1
1,0,0,0,5,1,0,0,0,0,378,5,35,0
2,0,0,0,1,1,1,0,0,0,810,2,40,0
1,0,1,1,2,4,3,1,0,0,1805,6,90,1
0,0,2,1,3,0,1,1,0,0,898,6,49,0
4,2,0,1,1,2,3,1,0,1,788,6,68,1
1,1,0,2,4,0,3,0,0,2,977,2,92,1
1,0,1,1,2,1,3,1,1,0,876,4,59,1
6,1,1,0,3,0,5,0,1,0,1431,1,96,1
5,0,0,0,1,6,0,0,0,0,1069,1,99,1
1,1,2,1,6,2,1,0,0,1,321,0,72,1
2,0,0,2,3,1,0,0,0,0,177,3,39,0
1,0,0,0,0,0,1,0,0,0,645,1,13,0
2,0,2,2,2,0,3,1,0,1,841,7,84,1
1,1,0,2,4,5,2,1,1,1,1791,4,90,1
0,0,0,1,3,1,1,0,0,0,683,6,41,0
0,0,1,1,1,3,0,0,0,0,826,4,43,0
1,0,2,2,2,4,0,0,0,0,491,1,43,0
2,0,0,0,3,1,0,0,0,0,807,7,30,0
5,1,1,0,0,2,1,1,2,0,727,5,82,1
4,2,1,1,5,4,2,1,2,0,1029,4,60,1
